2018/8/22,9:37:29
FirmwareVer=DropsondeV2OPC-PCBV4 012ic.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,1.00,4
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
882,376,971,2,53,3,1,0,0,0,0,0,0,0,0,0,0,0,255,255,4,0,8242,59,50,32,0
1026,376,965,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,4314,5,218,16,1
1166,376,954,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,4205,14,109,16,1
1310,376,969,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,4350,3,254,16,0
1444,376,966,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,4011,3,171,15,0
1580,377,970,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,4045,3,205,15,0
1714,377,952,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,4014,7,174,15,0
1848,377,973,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,4012,4,172,15,1
1982,377,967,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,4014,6,174,15,0
2117,377,965,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,4047,7,207,15,0
2267,377,967,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,4532,5,180,17,1
2404,377,970,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,4086,6,246,15,0
2540,378,972,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,66,0,0,0,4087,4,247,15,0
2676,377,968,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,4089,2,249,15,0
2814,377,968,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,4123,3,27,16,0
2950,377,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4052,0,212,15,1
3085,377,966,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,4052,6,212,15,1
3222,377,960,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,4122,9,26,16,1
3361,377,993,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,4172,2,76,16,0
3497,377,969,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,4084,8,244,15,0
3636,377,976,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,4117,5,21,16,1
3771,373,973,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,4047,4,207,15,0
3907,377,974,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,4084,8,244,15,1
4043,373,972,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,4083,3,243,15,1
4180,378,974,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,4117,8,21,16,1
4367,385,974,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,5728,4,96,22,0
4502,378,973,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,4047,4,207,15,0
4639,377,1004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4085,1,245,15,0
4776,378,969,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,4119,8,23,16,0
4913,378,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4085,0,245,15,0
5048,378,970,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,4048,3,208,15,0
5185,377,973,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,4121,10,25,16,0
5322,377,970,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,4084,6,244,15,0
5462,377,972,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,4208,4,112,16,1
5599,376,1023,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,4088,8,248,15,1
5736,377,974,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,4122,4,26,16,0
5871,377,976,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,4053,4,213,15,0
6008,377,959,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,4088,5,248,15,1
6146,377,977,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,4123,5,27,16,0
6282,378,974,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,4088,3,248,15,0
6434,385,974,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,4607,5,255,17,0
6572,377,976,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,4128,6,32,16,1
6708,378,978,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,4053,7,213,15,0
6844,378,980,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,82,0,0,0,4086,11,246,15,0
6982,378,979,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,4159,10,63,16,0
7119,378,980,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,4087,6,247,15,1
7256,379,976,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,48,126,0,0,4090,10,250,15,0
7399,377,976,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,47,127,0,0,4318,4,222,16,0
7537,376,979,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,4156,12,60,16,0
7675,377,974,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,4122,4,26,16,0
7812,377,987,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,4086,5,246,15,0
7948,377,982,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,4087,3,247,15,1
8085,376,979,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,4087,10,247,15,0
8222,376,974,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,4122,4,26,16,0
8357,376,977,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055,1,215,15,0
8544,376,981,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,5705,7,73,22,0
8679,376,979,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,61,66,0,0,4080,12,240,15,0
8818,375,973,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,4195,7,99,16,0
8953,376,976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,4053,1,213,15,0
