2018/10/24,15:14:32
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
10,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
1284,301,755,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,54698,4,170,213,10
1830,301,771,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,17557,2,149,68,1
2371,300,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17376,0,224,67,1
2914,297,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17414,0,6,68,0
3446,295,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17077,0,181,66,0
3981,291,748,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,17148,1,252,66,1
4517,290,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17218,0,66,67,0
5051,289,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17110,0,214,66,0
5585,289,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17146,0,250,66,0
6119,288,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17145,0,249,66,3
6670,282,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17664,0,0,69,0
7203,286,752,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,17141,1,245,66,0
7742,286,756,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,17285,1,133,67,1
8282,285,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17292,0,140,67,0
8818,288,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17222,0,70,67,0
9354,288,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17187,0,35,67,2
9889,288,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17186,0,34,67,0
10425,287,758,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,17186,1,34,67,0
10968,283,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17414,0,6,68,0
11503,282,764,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17182,2,30,67,1
