24/10/2018,15:14:32,,,,,,,,,,,,,,,,,,,,,,,,,
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS,,,,,,,,,,,,,,,,,,,,,,,,,,
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID,,,,,,,,,,
0,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1874,1,1,,,,,,,,,,
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
1265,320,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,56883,0,51,222,1
1810,315,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17486,0,78,68,0
2349,316,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17307,0,155,67,0
2892,307,884,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,17457,2,49,68,0
3427,307,893,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,17149,3,253,66,15
3964,311,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17255,0,103,67,4
4499,308,890,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,17145,1,249,66,3
5036,306,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17217,0,65,67,0
5569,307,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17116,0,220,66,0
6104,314,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17146,0,250,66,0
6652,315,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17633,0,225,68,0
7189,314,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17216,0,64,67,2
7725,316,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17184,0,32,67,1
8260,316,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17186,0,34,67,1
8796,315,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17187,0,35,67,1
9331,319,889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17187,1,35,67,0
9868,317,889,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,17187,2,35,67,2
10405,312,890,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,17261,2,109,67,3
10949,312,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17455,0,47,68,3
11486,312,886,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,17221,1,69,67,2
12024,314,882,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,17292,1,140,67,0
12564,314,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17328,0,176,67,0
13103,314,877,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,17256,2,104,67,0
13642,313,874,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,17328,3,176,67,8
14182,312,872,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,17327,2,175,67,5
14773,311,870,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,18987,1,43,74,3
15311,313,871,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,17294,7,142,67,3
15851,313,874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,17328,1,176,67,1
16391,314,873,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,17329,5,177,67,1
16930,314,873,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,17294,5,142,67,6
17470,317,876,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,17329,2,177,67,2
18010,313,878,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,17330,3,178,67,4
18554,309,878,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,17488,3,80,68,4
19094,312,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17298,0,146,67,0
19632,309,874,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,17259,2,107,67,4
20171,307,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17335,0,183,67,0
20710,305,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17261,0,109,67,0
21248,309,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17261,0,109,67,1
21785,312,872,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,17261,4,109,67,1
22340,310,871,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,17817,1,153,69,3
22879,312,873,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,17290,1,138,67,1
23417,307,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17292,0,140,67,4
23956,312,872,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,17263,2,111,67,4
24496,313,868,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,17332,1,180,67,0
25036,314,866,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17332,1,180,67,3
25574,315,868,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,17263,1,111,67,0
26118,315,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17462,0,54,68,0
26654,315,866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,17225,1,73,67,5
27193,310,864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,17262,1,110,67,5
27732,314,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17331,0,179,67,0
28270,314,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17262,0,110,67,3
28809,318,864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,17261,1,109,67,2
29348,313,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17332,0,180,67,1
29886,315,864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17261,1,109,67,2
30475,316,865,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,18914,2,226,73,3
31014,319,866,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,17333,2,181,67,1
31553,321,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17296,0,144,67,1
32092,321,868,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,17263,3,111,67,4
32630,321,869,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,17296,2,144,67,3
33171,315,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17333,0,181,67,1
33709,316,868,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,17264,1,112,67,2
34252,317,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17458,0,50,68,0
34789,315,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17225,0,73,67,0
35325,312,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17227,0,75,67,0
35863,308,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17224,0,72,67,0
36400,306,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17225,0,73,67,3
36936,306,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17226,0,74,67,1
37473,307,860,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17225,1,73,67,0
38025,308,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17709,0,45,69,1
38561,312,859,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,17221,2,69,67,0
39100,314,863,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,17291,1,139,67,0
39641,316,864,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17334,2,182,67,1
