2018/11/2,17:0:20
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1856,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
1262,212,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,5,1330,0,0,0,0
1814,212,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,69,17722,0,0,0,0
2371,211,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,69,17880,0,0,0,0
2917,212,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,68,17527,0,0,0,0
3453,212,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,67,17216,0,0,0,1
3989,212,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,67,17181,0,0,0,0
4525,212,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,67,17181,0,0,0,0
5060,212,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,67,17179,0,0,0,0
5596,213,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,67,17182,0,0,0,0
6131,213,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,67,17180,0,0,0,2
6681,212,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,17665,0,0,0,0
7218,212,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,67,17215,0,0,0,1
7755,212,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,67,17250,0,0,0,0
8293,212,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,67,17259,0,0,0,0
8833,212,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,67,17294,0,0,0,0
9371,212,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,67,17292,0,0,0,0
9910,212,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,67,17295,0,0,0,0
10454,212,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,68,17456,0,0,0,1
10993,213,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,67,17290,0,0,0,0
11533,212,905,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,67,17327,3,3,0,0
12072,213,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,67,17324,0,0,0,1
12612,213,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,67,17323,0,0,0,1
13152,213,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,67,17323,0,0,0,1
13692,213,897,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,67,17326,2,2,0,0
14246,213,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,69,17805,0,0,0,0
14786,213,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,67,17316,0,0,0,0
15326,213,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,67,17318,0,0,0,0
