2018/11/15,17:42:17
FirmwareVer=DropsondeV2OPC-PCBV4 PHA-c SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
970,536,552,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
1595,536,554,65535,65535,65535,65535,65535,65535,65535,65535,65523,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
2216,537,555,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
2838,537,555,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
3460,537,552,65535,65535,65535,65523,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
4085,537,553,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,62463,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
4707,537,552,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
5328,538,554,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
5953,538,555,65535,65535,65535,65535,65535,65535,62463,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
6575,538,555,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65523,255,255,255,255,65535,65535,255,255,255
7196,538,551,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
7818,538,552,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
8442,539,552,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
9064,539,552,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
9686,539,551,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
10310,539,549,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
10933,539,552,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
11555,539,553,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
12179,539,551,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
12805,539,550,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
13427,539,553,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
14050,540,550,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,255,255,255,255,65535,65535,255,255,255
